Sport,League,Time,Team 1,Team 2,Odds 1,Odds X,Odds 2
Basketball,Basketligan,13:04,Boras,BC Lulea,1.60,N/A,2.23
Basketball,WBL Women,13:15,Maccabi Ashdod W,Hapoel Rishon LeZion W,1.50,N/A,2.42
Basketball,Super League,13:40,Zenit Petersburg 2,Temp Sumz Revda,2.26,N/A,1.58
Basketball,Euroleague,13:45,Fenerbahce,Paris,1.39,N/A,3.00
Basketball,Super League,13:45,Hapoel Tel-Aviv,Hapoel Haifa,1.01,N/A,11.78
Basketball,Pro B,14:00,Rouen,Chartres,1.15,N/A,4.85
Basketball,Serie A2 Women - Gr. B,14:00,Trieste W,Valdarno W,3.02,N/A,1.33
Basketball,Basket Liga,14:00,Dziki Warszawa,Zielona Gora,1.33,N/A,3.11
Basketball,Liga Femenina Women,14:00,Estudiantes W,Perfumerias Avenida W,2.95,N/A,1.35
Basketball,Liga Femenina Women,14:15,Ferrol W,Uni Girona W,1.58,N/A,2.26
Basketball,Euroleague,14:30,Panathinaikos,Anadolu Efes,1.42,N/A,2.89
Basketball,Serie A2 Women - Gr. B,14:30,Broni W,Ragusa W,1.50,N/A,2.43
Basketball,Liga Femenina Women,14:30,Joventut Badalona W,Valencia W,5.32,N/A,1.12
Basketball,SB League Women,14:30,Nyon W,Fribourg W,2.19,N/A,1.61
Basketball,Liga Femenina Women,15:00,Jairis W,Zaragoza W,1.79,N/A,1.93
Basketball,Premier League,15:15,Grindavik,Stjarnan,1.63,N/A,2.16
Basketball,LBF Women,Live,Blumenau W,Cerrado W,2.72,N/A,1.40
Basketball,NBB,Live,Pato,Franca,4.14,N/A,1.20
Basketball,Liga A,Live,Obras Sanitarias,Ferro,1.31,N/A,3.24
Basketball,NBB,Live,Sao Paulo,Brasilia,1.78,N/A,1.96
Basketball,NBA,Live,Detroit Pistons,New York Knicks,2.06,N/A,1.79
Basketball,Superliga,Live,Gladiadores,Spartans,1.50,N/A,2.43
Basketball,Superliga,Live,Frontinos,Gaiteros del Zulia,10.34,N/A,1.02
Basketball,LNB,19:30,Sportiva Italiana,Espanol Osorno,1.75,N/A,1.96
Basketball,LNB,19:30,Ciudad Nueva,Dep. San Jose,8.57,N/A,1.01
Basketball,Liga A,20:00,Penarol,Platense,1.27,N/A,3.47
Basketball,BSN,20:00,Criollos de Caguas,Indios de Mayaguez,1.49,N/A,2.45
Basketball,BSN,20:00,Aguada Santeros,Gigantes de Carolina,2.06,N/A,1.70
Basketball,Liga A,20:30,Atenas,La Union,1.34,N/A,3.06
Basketball,Liga Uruguaya,20:30,Penarol,Defensor,1.35,N/A,2.99
Basketball,NBA,21:30,Memphis Grizzlies,Oklahoma City Thunder,4.46,N/A,1.21
Basketball,NBA,22:00,Los Angeles Clippers,Denver Nuggets,1.43,N/A,2.88
Basketball,NBL1 East Women,23:00,Bankstown Bruins W,Inner West Bulls W,2.36,N/A,1.52
Basketball,NBL,23:00,Bay Hawks,Franklin Bulls,1.74,N/A,1.98
Basketball,NBL1 Central Women,23:30,Norwood Flames W,Woodville Warriors W,1.52,N/A,2.38
Basketball,NBL1 Central Women,23:30,Sturt Sabres W,North Adelaide Rockets W,2.77,N/A,1.39
Basketball,NBL1 Central Women,23:30,South Adelaide Panthers W,Eastern Mavericks W,1.17,N/A,4.27
Tennis,ITF M15 Luan 3 Men (hard),00:00,Zhu E.,Zgirovsky A.,11.00,N/A,1.01
Tennis,ITF M15 Luan 3 Men (hard),00:15,Peliwo F.,Sun Qian,1.23,N/A,3.80
Tennis,ITF W100 Tokyo Women (hard),00:15,Inglis M.,Tararudee L.,1.53,N/A,2.35
Tennis,ITF W15 Wuning 3 Women (hard),00:35,Yang Y.,Wang J.,1.09,N/A,7.23
Tennis,ITF W15 Wuning 3 Women (hard),00:35,Guo M.,Chen M.,1.25,N/A,3.76
Tennis,ITF W100 Tokyo Women (hard),00:35,Hontama M.,Hartono A.,1.62,N/A,2.17
Tennis,Gwangju Challenger Men (hard),00:35,Chung H.,Trotter J. K.,1.56,N/A,2.32
Tennis,ITF W100 Tokyo Women (hard),00:40,Sonobe W.,Zhu L.,1.85,N/A,1.86
Tennis,ITF W15 Wuning 3 Women (hard),00:55,Lu J.,Aikawa M.,1.76,N/A,1.97
Tennis,Gwangju Challenger Men (hard),01:10,Jasika O.,Escoffier A.,1.53,N/A,2.43
Tennis,Gwangju Challenger Men Doubles (hard),01:10,Sharipov M./Simakin I.,Kirkov V./Stevens B.,2.75,N/A,1.43
Tennis,ITF M15 Osaka 2 Men (hard),01:15,Takahashi Y.,Marinkov P.,1.45,N/A,2.59
Tennis,ITF M15 Osaka 2 Men (hard),01:15,Shiraishi H.,Yamasaki J.,1.44,N/A,2.70
Tennis,Gwangju Challenger Men (hard),01:20,Walton A.,Kubler J.,1.56,N/A,2.32
Tennis,ITF W100 Tokyo Women (hard),01:55,Gibson T.,Park S.,1.43,N/A,2.65
Tennis,ITF W15 Wuning 3 Women Doubles (hard),02:00,Aixirefu A./Wang J.,Xu G./Zhang Z. Y.,1.19,N/A,4.13
Tennis,ITF M15 Osaka 2 Men Doubles (hard),02:00,Huang T./Ichikawa T.,Kikuchi Y./Yamamoto N.,N/A,N/A,N/A
Tennis,ITF W100 Tokyo Women (hard),02:15,Ito A.,Yamaguchi M.,1.08,N/A,7.03
Tennis,ITF W15 Shymkent Women (hard),02:15,Matos Sequeira Fernandes J.,Yushchenko V.,5.27,N/A,1.13
Tennis,ITF W15 Shymkent Women (hard),02:15,Sagandikova A.,Van De Peer V.,2.50,N/A,1.49
Tennis,ITF W15 Shymkent Women (hard),02:15,Steiner V.,Sziedat F.,1.99,N/A,1.74
Tennis,ITF W15 Shymkent Women (hard),02:15,Salibayeva A.,Nepliy E.,6.20,N/A,1.10
Tennis,ITF W15 Shymkent Women (hard),02:15,Ureke A.,Perelygina E.,1.59,N/A,2.23
Tennis,ITF W15 Shymkent Women (hard),02:15,Laskutova K.,Snigireva A.,1.52,N/A,2.41
Tennis,ITF W15 Wuning 3 Women (hard),02:25,Sun Y.,Lansere S.,4.04,N/A,1.21
Tennis,ITF W15 Shymkent Women (hard),02:25,Maklakova E.,Ceuca A. A.,1.11,N/A,5.81
Tennis,Gwangju Challenger Men Doubles (hard),02:30,Ho R./Romios M. C.,Kwon S./Park U.,1.29,N/A,3.27
Tennis,Gwangju Challenger Men (hard),02:40,Uchiyama Y.,Grenier H.,2.19,N/A,1.63
Tennis,ITF W15 Wuning 3 Women Doubles (hard),03:00,Li Ji./Zhang J.,Aikawa M./Nakashima M.,3.20,N/A,1.30
Tennis,Gwangju Challenger Men Doubles (hard),03:10,Nam Ji S./Uesugi K.,Sakamoto R./Shimabukuro S.,1.48,N/A,2.48
Tennis,ITF M15 Osaka 2 Men Doubles (hard),03:20,Oki Y./Sumizawa D.,Kawachi K./Tokuda R.,2.44,N/A,1.50
Tennis,ITF W35 Santa Margherita di Pula 4 Women (clay),03:30,Hobgarski K.,Lahey A.,1.40,N/A,2.78
Tennis,ITF W35 Santa Margherita di Pula 4 Women (clay),03:30,Belgraver J.,Pieri T.,1.88,N/A,1.83
Tennis,ITF W35 Santa Margherita di Pula 4 Women (clay),03:30,Glushkova D.,McDonald E.,1.36,N/A,2.97
Tennis,ITF W35 Santa Margherita di Pula 4 Women (clay),03:30,Ruggeri J.,Hatouka Y.,2.19,N/A,1.62
Tennis,ITF W100 Tokyo Women Doubles (hard),03:30,Sawangkaew M./Tararudee L.,Cabrera L./Watson H.,2.91,N/A,1.36
Tennis,ITF W100 Tokyo Women Doubles (hard),03:30,Guo H./Shibahara E.,Kobori M./Shimizu A.,1.23,N/A,3.83
Tennis,ITF M15 Antalya 12 Men (clay),03:30,Bailly G. A.,Turker M. N.,1.16,N/A,4.79
Tennis,ITF W15 Antalya 12 Women (clay),03:30,Gonzalez Daniele J. M.,Adkar V.,3.81,N/A,1.22
Tennis,ITF W15 Antalya 12 Women (clay),03:30,Simunyu C.,Vogt M.,3.65,N/A,1.25
Tennis,ITF W15 Antalya 12 Women (clay),03:30,Serban I. M.,Dols S.,2.38,N/A,1.52
Tennis,ITF M25 Santa Margherita di Pula 4 Men (clay),03:40,Clarke J.,Martin T.,1.07,N/A,7.60
Tennis,ITF W35 Santa Margherita di Pula 4 Women (clay),03:40,Schmidt A.,Pedone G.,1.77,N/A,1.95
Tennis,ITF W35 Santa Margherita di Pula 4 Women (clay),03:40,Chiesa E.,Pawlak L.,2.46,N/A,1.50
Tennis,ITF M15 Antalya 12 Men (clay),03:40,Rottgering M.,Krutykh O.,4.13,N/A,1.20
Tennis,ITF W35 Santa Margherita di Pula 4 Women (clay),03:55,Brancaccio N.,Tagger L.,1.73,N/A,2.02
Tennis,ITF M15 Shymkent Men (clay),03:55,Cuenin S.,Vanshelboim E.,1.96,N/A,1.77
Tennis,ITF W15 Wuning 3 Women Doubles (hard),04:00,Dang Y./Zhu A.,Jeong B./Okuwaki R.,2.15,N/A,1.63
Tennis,ITF M25 Sharm ElSheikh 2 Men (hard),04:00,Purtseladze S.,Ibrahim K.,1.03,N/A,9.50
Tennis,ITF M25 Sharm ElSheikh 2 Men (hard),04:00,Jovic V.,Stewart H.,3.96,N/A,1.22
Tennis,ITF W35 Sharm ElSheikh 2 Women (hard),04:00,Moccia C.,Krejcova T.,2.49,N/A,1.49
Tennis,ITF W35 Sharm ElSheikh 2 Women (hard),04:00,Blake A.,Tkacheva M.,2.60,N/A,1.45
Tennis,ITF M25 Angers Men (clay),04:00,Chazal M.,Vaksmann R.,1.11,N/A,5.96
Tennis,ITF M25 Angers Men (clay),04:00,Wendelken H.,Reymond A.,2.11,N/A,1.67
Tennis,ITF W35 Santa Margherita di Pula 4 Women Doubles (clay),04:00,Dinu C./Vilar G.,Anane S./Ekshibarova V.,N/A,N/A,N/A
Tennis,ITF M25 Sharm ElSheikh 2 Men (hard),04:15,Tiurnev E.,Poljak D.,1.72,N/A,2.00
